,,,,,Product List,,,,,,,,
Code,,Item Name,,,,Packing,,Purchase Rate,,,Sale Rate,,Image
32,,,tap filter brass,,,,1,,48,,,150,
33,,,"TFE check valve 1""",,,,1,,891,,,1350,
34,,,"RBS safety valve 1"" (heavy)",,,,1,,892.5,,,1300,
35,,,"super master sink tray 18"" x 36""",,,,1,,2240,,,3900,
36,,,"super master man hole 18"" (plastic)",,,,1,,1800,,,3000,
37,,,"super master bowl (60"" x 45"") 3mm",,,,1,,10000,,,15500,
38,,,"super master 12"" x 12"" (steel)",,,,1,,1240,,,2000,
39,,,ari frame (orange),,,,1,,330,,,550,
40,,,pop bag 50kg,,,,1,,600,,,850,
41,,,"naflo chain pipe 1-1/4""",,,,1,,825,,,1250,
42,,,naflo toilet shower complete,,,,1,,1375,,,2200,
43,,,polish metalic dabi,,,,1,,200,,,300,
44,,,"lag screw 3"" x 10",,,,1,,20,,,40,
45,,,"lag screw 4"" x 10",,,,1,,25,,,50,
46,,,"lag screw 1-1/4"" x 12",,,,1,,5.6,,,20,
47,,,"lag screw 3/4"" x 14",,,,1,,5.9,,,20,
48,,,"lag screw 1"" x 14",,,,1,,7.8,,,20,
49,,,"lag screw 2"" x 14",,,,1,,11.7,,,30,
50,,,"lag screw 4"" x 14",,,,1,,21.25,,,40,
51,,,"diamond master man hole 9""(steel)",,,,1,,770,,,1200,
52,,,hole saw (11pcs),,,,1,,600,,,850,
53,,,kavia paste,,,,1,,30,,,50,
54,,,dispenser dead nut,,,,1,,100,,,300,
55,,,washer element,,,,1,,20,,,50,
56,,,polish metalic silver pkt,,,,1,,79.7,,,120,
57,,,"meter regulater sparko 3/4""",,,,1,,350,,,600,
58,,,"JP exaust fan 8"" (plastic)",,,,1,,3819,,,4800,
59,,,"JP exaust fan 10"" (plastic)",,,,,,3945,,,4900,
60,,,ruber door (foam),,,,1,,90,,,150,
61,,,wall putty (Qtr.),,,,1,,175,,,300,
62,,,wall putty (gallon),,,,1,,400,,,600,
63,,,teflon tape (EZ),,,,1,,14.5,,,19,
64,,,coolar pump (12w) solar,,,,1,,580,,,900,
65,,,"pvc elbow 2""",,,,1,,81.12,,,120,
66,,,"pvc elbow 3""",,,,1,,164.84,,,190,
67,,,"pvc elbow 4""",,,,1,,239.72,,,260,
68,,,"pvc elbow 5""",,,,1,,441.48,,,500,
69,,,"pvc elbow 6""",,,,,,607.88,,,690,
70,,,"pvc elbow 2"" (45*)",,,,1,,70.72,,,120,
71,,,"pvc elbow 3"" (45*)",,,,1,,139.88,,,190,
